name,address,lat,lng, type
Vincom Plaza Hòa Bình,Đường Cù Chính Lan P. Đồng Tiến TP. Hòa Bình,20.825869749770696,105.35107579543782,VinFast DC 30kW
Serena Resort Kim Bôi,Xóm Khai Đồi Xã Sào Báy H. Kim Bôi,20.598787151034674, 105.58918731670616,VinFast AC 11kW
PVOil Cao Phong,Quốc lộ 6 Thị trấn Cao Phong H. Cao Phong,20.734567,105.267891,VinFast DC 60kW
Khách sạn AP Plaza,Đường Chi Lăng P. Trại Mát TP. Hòa Bình,20.815678,105.336789,VinFast DC 30kW
Trạm dừng nghỉ Số 29 (Hà Nội - Mộc Châu),Huyện Cao Phong Hòa Bình,20.745678,105.254321,VinFast DC 60kW
Ivory Villas & Resort,Xã Lâm Sơn H. Lương Sơn,20.898765,105.487654,Eboost AC 22kW
PVOil Tân Lạc,Thị trấn Mãn Đức H. Tân Lạc,20.634567,105.278901,VinFast DC 60kW
An Lạc Eco Farm,Xã Vĩnh Đồng H. Kim Bôi,20.612345,105.587654,VinFast AC 11kW
Khách sạn Grand Hotel Hòa Bình,129 Lê Thánh Tông P. Tân Thịnh,20.814567,105.323456,VinFast DC 30kW
PVOil Kỳ Sơn,Xã Dân Hạ H. Kỳ Sơn,20.912345,105.423456,VinFast DC 60kW
V-Resort Kim Bôi,Xã Vĩnh Tiến H. Kim Bôi,20.678901,105.534567,VinFast DC 30kW
Bakhan Village Resort,Xã Khan Hạ H. Mai Châu,20.712345,105.123456,Eboost AC 11kW
PVOil Mai Châu,Ngã ba Tòng Đậu H. Mai Châu,20.678902,105.098765,VinFast DC 60kW
Bãi xe Bản Lác,Bản Lác Xã Chiềng Châu H. Mai Châu,20.665432,105.087654,VinFast AC 11kW
Ohara Villas & Resort,Xã Mông Hóa H. Kỳ Sơn,20.923456,105.412345,Eboost AC 22kW
VinFast Showroom Hòa Bình,102 Trần Hưng Đạo P. Đồng Tiến,20.817890,105.335678,VinFast DC 60kW
Sân Golf Long Thành (Hilltop Valley),Xã Dân Hạ H. Kỳ Sơn,20.901234,105.512345,VinFast AC 11kW
PVOil Yên Thủy,Thị trấn Hàng Trạm H. Yên Thủy,20.456789,105.678901,VinFast DC 60kW
Mai Châu Ecolodge,Bản Nà Phòn H. Mai Châu,20.654321,105.078901,Eboost AC 11kW
Kho bạc Nhà nước Hòa Bình,P. Phương Lâm TP. Hòa Bình,20.823456,105.345678,VinFast AC 11kW
Bệnh viện Đa khoa Tỉnh Hòa Bình,P. Đồng Tiến TP. Hòa Bình,20.818901,105.332345,VinFast DC 30kW
PVOil Đà Bắc,Thị trấn Đà Bắc H. Đà Bắc,20.876543,105.234567,VinFast DC 60kW
Avana Retreat,Xã Bao La H. Mai Châu,20.723456,105.067890,Eboost AC 22kW
Vincom Plaza Sơn La,Đường Giảng Lắc P. Quyết Thắng TP. Sơn La,21.328901,103.912345,VinFast DC 30kW
Mường Thanh Luxury Sơn La,Đường Giảng Lắc P. Quyết Thắng TP. Sơn La,21.329876,103.913456,VinFast DC 30kW
PVOil Mộc Châu,Tiểu khu 4 Thị trấn Mộc Châu,20.845678,104.623456,VinFast DC 60kW
Khách sạn Sao Xanh Mộc Châu,Tiêu khu 14 Thị trấn Mộc Châu,20.856789,104.634567,VinFast DC 30kW
PVOil Yên Châu,Quốc lộ 6 Thị trấn Yên Châu,21.045678,104.234567,VinFast DC 60kW
PVOil Mai Sơn,Thị trấn Hát Lót H. Mai Sơn,21.234567,104.012345,VinFast DC 60kW
VinFast Showroom Sơn La,Đường Chu Văn An P. Quyết Tâm,21.334567,103.901234,VinFast DC 60kW
Thảo Nguyên Resort,Tiểu khu 32 Thị trấn Nông Trường Mộc Châu,20.867890,104.654321,VinFast AC 11kW
PVOil Thuận Châu,Thị trấn Thuận Châu H. Thuận Châu,21.434567,103.678901,VinFast DC 60kW
Phoenix Mộc Châu Resort,Rừng thông Bản Áng xã Đông Sang,20.834567,104.612345,VinFast AC 11kW
PVOil Thành Phố Sơn La,P. Chiềng Sinh TP. Sơn La,21.289012,103.956789,VinFast DC 150kW
Mộc Châu Island (Cầu Kính),Xã Mường Sang H. Mộc Châu,20.812345,104.589012,VinFast DC 60kW
Bệnh viện Đa khoa Mộc Châu,Tiểu khu 11 Thị trấn Mộc Châu,20.848901,104.628901,VinFast DC 30kW
PVOil Vân Hồ,Xã Vân Hồ H. Vân Hồ,20.789012,104.765432,VinFast DC 60kW
Khách sạn Công Đoàn Mộc Châu,Thị trấn Nông Trường Mộc Châu,20.876543,104.667890,VinFast AC 11kW
PVOil Chiềng Cơi,P. Chiềng Cơi TP. Sơn La,21.312345,103.905678,VinFast DC 60kW
VinWonders Mộc Châu (Dự kiến),Khu du lịch Mộc Châu,20.854321,104.643210,VinFast DC 150kW
Trung tâm Hành chính Huyện Mai Sơn,Thị trấn Hát Lót Mai Sơn,21.232345,104.015678,VinFast AC 11kW
PVOil Phù Yên,Thị trấn Phù Yên H. Phù Yên,21.256789,104.654321,VinFast DC 60kW
Glenda Hotel Mộc Châu,Tiểu khu Nhà Nghỉ TT. Nông Trường,20.865432,104.651234,VinFast AC 11kW
Vincom Plaza Điện Biên Phủ,Đường Võ Nguyên Giáp P. Tân Thanh,21.391234,103.018901,VinFast DC 30kW
Mường Thanh Grand Điện Biên,514 Võ Nguyên Giáp P. Him Lam,21.385678,103.021234,VinFast DC 30kW
PVOil Điện Biên,P. Thanh Bình TP. Điện Biên Phủ,21.378901,103.015678,VinFast DC 60kW
Him Lam Resort,P. Him Lam TP. Điện Biên Phủ,21.365432,103.034567,VinFast AC 11kW
PVOil Tuần Giáo,Thị trấn Tuần Giáo H. Tuần Giáo,21.589012,103.423456,VinFast DC 60kW
Sân bay Điện Biên Phủ,P. Thanh Trường TP. Điện Biên Phủ,21.398765,103.004321,VinFast DC 60kW
VinFast Showroom Điện Biên,Đường 7/5 P. Him Lam,21.382345,103.025678,VinFast DC 60kW
Bảo tàng Chiến thắng Điện Biên,P. Mường Thanh TP. Điện Biên Phủ,21.389012,103.017890,VinFast AC 11kW
PVOil Mường Ảng,Thị trấn Mường Ảng H. Mường Ảng,21.489012,103.189012,VinFast DC 60kW
Khách sạn Phadin Quân Khu 2,P. Thanh Bình TP. Điện Biên Phủ,21.376543,103.012345,VinFast AC 11kW
Quảng trường 7/5,P. Tân Thanh TP. Điện Biên Phủ,21.393456,103.021234,VinFast AC 11kW
PVOil Mường Chà,Thị trấn Mường Chà H. Mường Chà,21.845678,103.089012,VinFast DC 60kW
Bến xe khách Điện Biên,P. Thanh Bình TP. Điện Biên Phủ,21.371234,103.011234,VinFast DC 30kW
PVOil Mường Lay,Thị xã Mường Lay Điện Biên,22.056789,103.156789,VinFast DC 60kW
Khách sạn A1,P. Mường Thanh TP. Điện Biên Phủ,21.387654,103.016789,VinFast AC 11kW
Cửa hàng Xăng dầu Số 20,Quốc lộ 279 P. Noong Bua,21.367890,103.045678,VinFast DC 60kW
PVOil Điện Biên Đông,TT. Điện Biên Đông H. Điện Biên Đông,21.334567,103.256789,VinFast DC 60kW
Trung tâm Thương mại Him Lam,P. Him Lam TP. Điện Biên Phủ,21.381234,103.028901,VinFast DC 30kW
Khách sạn Nậm Rốm,P. Him Lam TP. Điện Biên Phủ,21.379012,103.023456,VinFast AC 11kW
Khu di tích Sở Chỉ huy chiến dịch,Xã Mường Phăng TP. Điện Biên Phủ,21.456789,103.178901,VinFast AC 11kW
Vincom Plaza Lai Châu,Đại lộ Lê Lợi P. Tân Phong TP. Lai Châu,22.396789,103.461234,VinFast DC 30kW
Mường Thanh Lai Châu,Đường Lê Duẩn P. Tân Phong TP. Lai Châu,22.398901,103.458901,VinFast DC 30kW
PVOil Tam Đường,Thị trấn Tam Đường H. Tam Đường,22.334567,103.623456,VinFast DC 60kW
Quảng trường Nhân dân Lai Châu,P. Tân Phong TP. Lai Châu,22.395432,103.463456,VinFast AC 11kW
VinFast Showroom Lai Châu,Đường 58m P. Tân Phong,22.391234,103.456789,VinFast DC 60kW
PVOil Phong Thổ,Thị trấn Phong Thổ H. Phong Thổ,22.534567,103.356789,VinFast DC 60kW
Cửa khẩu Ma Lù Thàng,Xã Ma Ly Pho H. Phong Thổ,22.601234,103.167890,VinFast DC 30kW
PVOil Than Uyên,Thị trấn Than Uyên H. Than Uyên,21.945678,103.889012,VinFast DC 60kW
PVOil Tân Uyên,Thị trấn Tân Uyên H. Tân Uyên,22.089012,103.912345,VinFast DC 60kW
Khách sạn Hoang Nham Luxury,P. Quyết Thắng TP. Lai Châu,22.401234,103.467890,VinFast DC 30kW
Bến xe khách Lai Châu,P. Đông Phong TP. Lai Châu,22.387654,103.478901,VinFast DC 60kW
PVOil Nậm Nhùn,Thị trấn Nậm Nhùn H. Nậm Nhùn,22.289012,103.034567,VinFast DC 60kW
Trung tâm Hành chính Công Lai Châu,P. Tân Phong TP. Lai Châu,22.393456,103.460123,VinFast AC 11kW
PVOil Sìn Hồ,Thị trấn Sìn Hồ H. Sìn Hồ,22.356789,103.245678,VinFast DC 60kW
Khu du lịch Cầu Kính Rồng Mây,Đèo Ô Quy Hồ Tam Đường,22.352345,103.765432,VinFast AC 11kW
PVOil Mường Tè,Thị trấn Mường Tè H. Mường Tè,22.378901,102.789012,VinFast DC 60kW
Chợ Trung tâm Lai Châu,P. Đoàn Kết TP. Lai Châu,22.389012,103.465678,VinFast AC 11kW
Khách sạn Putaleng,P. Tân Phong TP. Lai Châu,22.397890,103.454567,VinFast AC 11kW
PVOil San Thàng,Xã San Thàng TP. Lai Châu,22.376543,103.498765,VinFast DC 60kW
Hồ Thủy Sơn Parking,P. Tân Phong TP. Lai Châu,22.394567,103.462345,VinFast AC 11kW
Cửa khẩu Quốc tế Lào Cai,P. Lào Cai TP. Lào Cai,22.495678,103.967890,VinFast DC 60kW
Sun Plaza Sapa,TT. Sa Pa Thị xã Sa Pa,22.334567,103.841234,VinFast AC 11kW
PVOil Cốc Lếu,Đường Hoàng Liên P. Cốc Lếu TP. Lào Cai,22.489012,103.956789,VinFast DC 150kW
Trạm dừng nghỉ Cốc San (Cao tốc),Xã Cốc San TP. Lào Cai,22.434567,103.989012,VinFast DC 250kW
Hotel de la Coupole - MGallery,1 Hoàng Liên TT. Sa Pa,22.332345,103.842345,Eboost AC 22kW
PVOil Sa Pa,Điện Biên Phủ TT. Sa Pa,22.345678,103.856789,VinFast DC 60kW
VinFast Showroom Lào Cai,88 Trần Hưng Đạo P. Bắc Cường,22.467890,103.978901,VinFast DC 60kW
PVOil Bảo Thắng,TT. Phố Lu H. Bảo Thắng,22.323456,104.189012,VinFast DC 60kW
PVOil Bảo Yên,TT. Phố Ràng H. Bảo Yên,22.234567,104.456789,VinFast DC 60kW
Silk Path Grand Resort & Spa Sapa,Đồi Quan 6 Tổ 10 Sa Pa,22.341234,103.834567,VinFast AC 11kW
GO! Lào Cai (Big C),Đường Trần Hưng Đạo P. Bắc Lệnh,22.456789,103.989012,VinFast DC 60kW
PVOil Bát Xát,TT. Bát Xát H. Bát Xát,22.512345,103.890123,VinFast DC 60kW
PVOil Văn Bàn,TT. Khánh Yên H. Văn Bàn,22.045678,104.234567,VinFast DC 60kW
Lady Hill Sapa Resort,Nguyễn Chí Thanh Tổ 4 Sa Pa,22.348901,103.823456,Eboost AC 22kW
Bến xe Trung tâm Lào Cai,Đường Trần Phú P. Bắc Cường,22.461234,103.971234,VinFast DC 60kW
PVOil Bắc Hà,TT. Bắc Hà H. Bắc Hà,22.534567,104.289012,VinFast DC 30kW
Khách sạn Mường Thanh Lào Cai,86 Thanh Niên P. Duyên Hải,22.501234,103.963456,VinFast DC 30kW
Pao's Sapa Leisure Hotel,Mường Hoa TT. Sa Pa,22.321234,103.847890,Eboost AC 11kW
Đền Thượng Lào Cai,P. Lào Cai TP. Lào Cai,22.498765,103.971234,VinFast AC 11kW
PVOil Xuân Giao,Nút giao IC17 Cao tốc Xuân Giao,22.367890,104.056789,VinFast DC 150kW
Topas Ecolodge,Thanh Kim Sa Pa,22.289012,103.912345,Eboost AC 11kW
Quảng trường Trung tâm Sa Pa,TT. Sa Pa,22.335678,103.841234,VinFast AC 11kW
Bệnh viện Đa khoa Tỉnh Lào Cai,P. Bình Minh TP. Lào Cai,22.445678,103.991234,VinFast DC 30kW
PVOil Si Ma Cai,TT. Si Ma Cai H. Si Ma Cai,22.689012,104.278901,VinFast DC 60kW
Sân vận động Lào Cai,P. Nam Cường TP. Lào Cai,22.478901,103.982345,VinFast DC 30kW
Vincom Plaza Yên Bái,Đường Nguyễn Thái Học P. Nguyễn Thái Học,21.712345,104.878901,VinFast DC 30kW
Trạm dừng nghỉ Km114 (Cao tốc),Xã Minh Quân H. Trấn Yên,21.634567,104.989012,VinFast DC 360kW
PVOil Nghĩa Lộ,P. Pú Trạng Thị xã Nghĩa Lộ,21.601234,104.512345,VinFast DC 60kW
VinFast Showroom Yên Bái,Đường Điện Biên P. Yên Ninh,21.723456,104.891234,VinFast DC 60kW
PVOil Mù Cang Chải,Thị trấn Mù Cang Chải,21.845678,104.089012,VinFast DC 30kW
Khách sạn Mường Thanh Yên Bái,Đường Tú Xương P. Đồng Tâm,21.705678,104.882345,VinFast DC 30kW
PVOil Lục Yên,Thị trấn Yên Thế H. Lục Yên,22.112345,104.765432,VinFast DC 60kW
PVOil Yên Bình,Thị trấn Yên Bình H. Yên Bình,21.745678,104.923456,VinFast DC 60kW
PVOil Văn Chấn,Thị trấn Sơn Thịnh H. Văn Chấn,21.567890,104.623456,VinFast DC 60kW
Le Champ Tu Le Resort,Xã Tú Lệ H. Văn Chấn,21.765432,104.432109,Eboost AC 22kW
Hồ Thác Bà (Khu du lịch),Huyện Yên Bình Yên Bái,21.789012,104.956789,VinFast AC 11kW
PVOil Văn Yên,Thị trấn Mậu A H. Văn Yên,21.890123,104.678901,VinFast DC 60kW
Bến xe Khách Yên Bái,P. Nguyễn Thái Học TP. Yên Bái,21.714567,104.876543,VinFast DC 30kW
PVOil Trạm Tấu,Thị trấn Trạm Tấu H. Trạm Tấu,21.534567,104.489012,VinFast DC 30kW
Bệnh viện Đa khoa Yên Bái,P. Minh Tân TP. Yên Bái,21.726789,104.885678,VinFast DC 30kW
Quảng trường 19/8,P. Đồng Tâm TP. Yên Bái,21.703456,104.881234,VinFast AC 11kW
PVOil Âu Lâu,Xã Âu Lâu TP. Yên Bái,21.689012,104.856789,VinFast DC 60kW
Khách sạn Như Nguyệt,Đường Đinh Tiên Hoàng P. Đồng Tâm,21.706789,104.884567,VinFast AC 11kW
PVOil Cổ Phúc,Thị trấn Cổ Phúc H. Trấn Yên,21.756789,104.823456,VinFast DC 60kW
Khu nghỉ dưỡng Mù Cang Chải,Xã La Pán Tẩn H. Mù Cang Chải,21.856789,104.123456,Eboost AC 11kW
Chợ Đồng Tâm,P. Đồng Tâm TP. Yên Bái,21.704567,104.883456,VinFast AC 11kW
PVOil Km5,P. Yên Ninh TP. Yên Bái,21.728901,104.894567,VinFast DC 60kW
Công viên Yên Hòa,P. Yên Ninh TP. Yên Bái,21.718901,104.889012,VinFast AC 11kW
Nhà khách Hào Gia,P. Đồng Tâm TP. Yên Bái,21.702345,104.880123,VinFast AC 11kW
PVOil Giới Phiên,Xã Giới Phiên TP. Yên Bái,21.691234,104.867890,VinFast DC 60kW
Vincom Plaza Việt Trì,Đại lộ Hùng Vương P. Tiên Cát TP. Việt Trì,21.321234,105.401234,VinFast DC 30kW
Mường Thanh Luxury Phú Thọ,Đại lộ Hùng Vương P. Gia Cẩm TP. Việt Trì,21.314567,105.396789,VinFast DC 30kW
Trạm dừng nghỉ Km57 (Cao tốc),Xã Phù Ninh H. Phù Ninh,21.456789,105.289012,VinFast DC 250kW
Đền Hùng (Khu di tích),Xã Hy Cương TP. Việt Trì,21.378901,105.323456,VinFast DC 60kW
PVOil Thanh Thủy,Thị trấn Thanh Thủy H. Thanh Thủy,21.123456,105.289012,VinFast DC 60kW
VinFast Showroom Việt Trì,Đại lộ Hùng Vương P. Vân Phú,21.345678,105.389012,VinFast DC 60kW
PVOil Phú Thọ (Thị xã),P. Âu Cơ Thị xã Phú Thọ,21.401234,105.223456,VinFast DC 60kW
Vườn Vua Resort & Villas,Xã Trung Thịnh H. Thanh Thủy,21.145678,105.267890,Eboost AC 22kW
PVOil Cẩm Khê,Thị trấn Cẩm Khê H. Cẩm Khê,21.456789,105.067890,VinFast DC 60kW
PVOil Đoan Hùng,Thị trấn Đoan Hùng H. Đoan Hùng,21.623456,105.189012,VinFast DC 60kW
PVOil Lâm Thao,Thị trấn Lâm Thao H. Lâm Thao,21.312345,105.289012,VinFast DC 60kW
Đảo Ngọc Xanh,Thị trấn Thanh Thủy H. Thanh Thủy,21.134567,105.278901,VinFast AC 11kW
PVOil Tân Sơn,Xã Tân Phú H. Tân Sơn,21.156789,104.989012,VinFast DC 30kW
GO! Việt Trì (Big C),Đường Nguyễn Tất Thành P. Thanh Miếu,21.298901,105.412345,VinFast DC 60kW
Bến xe Việt Trì,P. Gia Cẩm TP. Việt Trì,21.316789,105.394567,VinFast DC 30kW
PVOil Tam Nông,Thị trấn Hưng Hóa H. Tam Nông,21.245678,105.312345,VinFast DC 60kW
PVOil Yên Lập,Thị trấn Yên Lập H. Yên Lập,21.345678,105.034567,VinFast DC 60kW
Khách sạn X2 Vibe Việt Trì,P. Bến Gót TP. Việt Trì,21.289012,105.423456,VinFast AC 11kW
PVOil Hạ Hòa,Thị trấn Hạ Hòa H. Hạ Hòa,21.567890,105.012345,VinFast DC 60kW
Khu công nghiệp Thụy Vân,Xã Thụy Vân TP. Việt Trì,21.356789,105.367890,VinFast DC 150kW
Sân vận động Việt Trì,Đại lộ Hùng Vương P. Thọ Sơn,21.305678,105.405678,VinFast AC 11kW
PVOil Phù Ninh,Thị trấn Phong Châu H. Phù Ninh,21.412345,105.345678,VinFast DC 60kW
Thanh Thủy Hot Spring Resort,Xã La Phù H. Thanh Thủy,21.112345,105.290123,Eboost AC 11kW
Bảo tàng Hùng Vương,Đường Trần Phú P. Gia Cẩm,21.318901,105.392345,VinFast AC 11kW
Quảng trường Hùng Vương,P. Gia Cẩm TP. Việt Trì,21.313456,105.398901,VinFast AC 11kW
Vincom Shophouse Hà Giang,Đường Trần Phú P. Trần Phú TP. Hà Giang,22.823456,104.987654,VinFast AC 11kW
PVOil Hà Giang (Km0),Đường Nguyễn Trãi P. Nguyễn Trãi TP. Hà Giang,22.812345,104.981234,VinFast DC 60kW
PVOil Quản Bạ,Thị trấn Tam Sơn H. Quản Bạ,23.067890,104.989012,VinFast DC 60kW
PVOil Yên Minh,Thị trấn Yên Minh H. Yên Minh,23.123456,105.123456,VinFast DC 60kW
PVOil Đồng Văn,Thị trấn Đồng Văn H. Đồng Văn,23.278901,105.356789,VinFast DC 60kW
PVOil Mèo Vạc,Thị trấn Mèo Vạc H. Mèo Vạc,23.165432,105.412345,VinFast DC 60kW
PVOil Bắc Quang,Thị trấn Việt Quang H. Bắc Quang,22.456789,104.823456,VinFast DC 60kW
PVOil Vị Xuyên,Thị trấn Vị Xuyên H. Vị Xuyên,22.678901,104.956789,VinFast DC 60kW
P'apiu Resort,Xã Yên Định H. Bắc Mê,22.745678,105.145678,Eboost AC 22kW
H'Mong Village Resort,Khu Tráng Kìm xã Đông Hà H. Quản Bạ,23.045678,105.012345,VinFast AC 11kW
Khách sạn Yên Biên Luxury,Đường Nguyễn Trãi P. Nguyễn Trãi TP. HG,22.816789,104.985678,VinFast DC 30kW
PVOil Hoàng Su Phì,Thị trấn Vinh Quang H. Hoàng Su Phì,22.689012,104.678901,VinFast DC 60kW
PVOil Xín Mần,Thị trấn Cốc Pài H. Xín Mần,22.689012,104.456789,VinFast DC 30kW
PVOil Bắc Mê,Thị trấn Yên Phú H. Bắc Mê,22.756789,105.212345,VinFast DC 60kW
Bến xe khách Hà Giang,P. Phương Thiện TP. Hà Giang,22.801234,104.976543,VinFast DC 60kW
Quảng trường 26/3,P. Minh Khai TP. Hà Giang,22.825678,104.983456,VinFast AC 11kW
PVOil Quang Bình,Thị trấn Yên Bình H. Quang Bình,22.412345,104.623456,VinFast DC 60kW
Pan Hou Village,Xã Thông Nguyên H. Hoàng Su Phì,22.589012,104.645678,Eboost AC 11kW
Khách sạn Phoenix Hà Giang,P. Nguyễn Trãi TP. Hà Giang,22.814567,104.982345,VinFast AC 11kW
Cột cờ Lũng Cú (Bãi xe),Xã Lũng Cú H. Đồng Văn,23.367890,105.312345,VinFast AC 11kW
Chợ Đồng Văn,TT. Đồng Văn H. Đồng Văn,23.279801,105.357890,VinFast AC 11kW
Nhà khách Hà An,P. Nguyễn Trãi TP. Hà Giang,22.818901,104.984567,VinFast AC 11kW
PVOil Thanh Thủy (Cửa khẩu),Xã Thanh Thủy H. Vị Xuyên,22.912345,104.956789,VinFast DC 60kW
Silk River Hotel,P. Nguyễn Trãi TP. Hà Giang,22.813456,104.980123,VinFast AC 11kW
Dinh Vua Mèo (Bãi xe),Xã Sà Phìn H. Đồng Văn,23.256789,105.289012,VinFast AC 11kW
Vincom Plaza Tuyên Quang,Đường Quang Trung P. Phan Thiết TP. TQ,21.823456,105.218901,VinFast DC 30kW
